***1-6***","今次出手咁重 ","5/6/2019 13:24
","今次出手咁重 ","5/6/2019 13:24
布布晚安","边度？想join ","5/6/2019 13:26
菲尼斯人","有冇联络电话","5/6/2019 13:28
光头仔卡路士","Pm me 有兴趣我带头Hi 反修例人士三工得唔得","5/6/2019 13:48
***1-6***","Pm me 有兴趣 我带头Hi 反修例人士三工得唔得 PM你蛇头个电话你自己倾啦","5/6/2019 13:51
二本松","焦土又有钱收何乐而不为","5/6/2019 13:51
雪原雾理","可接受记者采访 带头位 叫口号醒目 后生100蚊就得啦真心想做香港前途值1000","5/6/2019 13:53
网路评论员","地点呢反引渡修例走向世界　全球16个城市6月9日都示威https://m.hkgolden.com/view.aspx?message=7064053","5/6/2019 13:56
***1-6***","PM左蛇头个电话俾光头仔卡路士 ,你地想john就自己PM问佢,顺手派粒胶俾佢https://forum.hkgolden.com/ProfilePage.aspx?userid=358766","5/6/2019 13:57
中二病君","PM左蛇头个电话俾光头仔卡路士 ,你地想john就自己PM问佢,顺手派粒胶俾佢https://forum.hkgolden.com/ProfilePage.aspx?userid=358766唔好啊，佢acc依家有64酒64胶，有术数架","5/6/2019 14:23
***1-6***","PM左蛇头个电话俾光头仔卡路士 ,你地想john就自己PM问佢,顺手派粒胶俾佢https://forum.hkgolden.com/ProfilePage.aspx?userid=358766 唔好啊，佢acc依家有64酒64胶，有术数架 岩岩65了","5/6/2019 14:25
阿 kate","PM左蛇头个电话俾光头仔卡路士 ,你地想john就自己PM问佢,顺手派粒胶俾佢https://forum.hkgolden.com/ProfilePage.aspx?userid=358766点解会俾光头仔佢pm 问你攞咁渴？","5/6/2019 14:26
夏登大籐王","PM左蛇头个电话俾光头仔卡路士 ,你地想john就自己PM问佢,顺手派粒胶俾佢https://forum.hkgolden.com/ProfilePage.aspx?userid=358766 唔好啊，佢acc依家有64酒64胶，有术数架 岩岩65了89胶ok la","5/6/2019 14:27
光头仔卡路士","PM左蛇头个电话俾光头仔卡路士 ,你地想john就自己PM问佢,顺手派粒胶俾佢https://forum.hkgolden.com/ProfilePage.aspx?userid=358766 唔好啊，佢acc依家有64酒64胶，有术数架 岩岩65了","5/6/2019 14:28
谜拟Cute","唔要饭盒 1000 OK跪地+300喊到漏肺+500","5/6/2019 14:28
中二病君","建议po蛇头俾各路英雄揾食"," 5/6/2019 14:30
柑桔柠檬","PM左蛇头个电话俾光头仔卡路士 ,你地想john就自己PM问佢,顺手派粒胶俾佢https://forum.hkgolden.com/ProfilePage.aspx?userid=358766 唔好啊，佢acc依家有64酒64胶，有术数架 岩岩65了66","5/6/2019 14:34
大红龙","唔要饭盒 1000 OK跪地+300喊到漏肺+500 上电视+1000","5/6/2019 14:35
淋病越傻猪","唔要饭盒 1000 OK跪地+300喊到漏肺+500 职业孝子 担幡买水几钱","5/6/2019 14:41
陆宝","我决定俾1000蚊参加游行","5/6/2019 14:43
花胶炖鸡","有无得预支上期？","5/6/2019 14:46
同佢沟通唔到","记得做卧底，录音录影贴上嚟成功嘅话今次你又威威，高登又威威","5/6/2019 15:04
美极上料理","贡少几年前都械一千通肠都吾只拉","5/6/2019 15:07
吉吉吉吉吉吉","我就系蛇头，有咩pm 我想做二倒可以讲明自己有几多人","5/6/2019 16:29
红色小Bra","喊到失禁加几钱PM","5/6/2019 16:45
***1-6***","哗吊呢边炒到1500了    9/6 反送中游行日期：6月9日（日）集合地点：维园草地时间：下午2时半集合,3pm开始，6点完人数：要大量 $1500/位, wtapp95xx 9683,tg :hi0xxxxx6","5/6/2019 16:49
