刘辩","废老又赚外快","16/7/2019 13:44
头痛医脚","行得正企得正戴口罩？ 一定身有屎","16/7/2019 15:12
虫大师兄","张晓明落order了","16/7/2019 20:29
阿比月猫","以下系一个自我实现预言: 雪山狮子旗","16/7/2019 20:33
旺角西米糕","几幽默  支持八国联军解体中共 借力打力","16/7/2019 20:38
一条死毒拎","海自快D黎打救香港","16/7/2019 20:41
什么爱叫林雪","听日去行下先","16/7/2019 20:42
ROMA_INVICTA","八国联军正确旗帜：  大日本帝国  俄罗斯帝国  大不列癫帝国  法兰西第三共和国  美利坚合众国  德意志帝国  意大利王国  奥匈帝国 日本：用错旗德国、意大利、奥地利直头错体","16/7/2019 20:50
液相色谱柱","冇脑蓝丝冇货了","16/7/2019 20:59
六合狂徒","海自快D黎打救香港28DDG 听日下水同命名","16/7/2019 21:01
kilogram","ha, 政府要负责埋清洁 好快破产 https://forum.hkgolden.com/view.aspx?type=CA&message=7084413&page=13","16/7/2019 21:12
ROMA_INVICTA","造左对照图","16/7/2019 21:37
HU54","应该系大陆HEI "港嫖"？？","应该系大陆HEI "港嫖"？？
阿比月猫","造左对照图 我想讲系大不列颠............","16/7/2019 21:51
HU54","大陆HEI~~~DUO你老MO臭HEI~~~搞乜HEI野呀~~？DUO你老MO大陆HEI丫 ","大陆HEI~~~DUO你老MO臭HEI~~~搞乜HEI野呀~~？DUO你老MO大陆HEI丫
HU54","PO GUY大陆HEI 想转移视线, 想换TOPIC呀~~~吓？DUO下你个大陆HEI港嫖    ","PO GUY大陆HEI 想转移视线, 想换TOPIC呀~~~吓？DUO下你个大陆HEI港嫖
2MoreDoll","洗左几钱请人？几个钟都Keep唔到 ","16/7/2019 22:05
威拿","奥地利系中立国，又会贴上去","16/7/2019 22:50
HU54","奥地利系中立国，又会贴上去  D PO GUY大陆HEI港HEI嫖想我地转移视线去番七七卢沟桥日本侵华  成班PO GUY打把仔  ","D PO GUY大陆HEI港HEI嫖想我地转移视线去番七七卢沟桥日本侵华  成班PO GUY打把仔  
